id,archiveIdentifier,archiveFile,title,artist,album,quadrant,valence,energy,instrumentalness,speechiness,danceability,durationMs,analysisConfidence,categorySource,audioUrl,downloadUrl,externalUrl,licenseUrl,sourceSearch
archive-mz001_Mademoi_Selle-1-01_Anima_Delusions-mp3,mz001_Mademoi_Selle,01_Anima_Delusions.mp3,Anima Delusions,Mademoi Selle,[MZ001] Mademoi Selle: Bipolar Disorder,happy,0.7372,0.7872,0.9,0.04,0.668,145720,0.9,internet_archive_metadata_query,https://archive.org/download/mz001_Mademoi_Selle/01_Anima_Delusions.mp3,https://archive.org/download/mz001_Mademoi_Selle/01_Anima_Delusions.mp3,https://archive.org/details/mz001_Mademoi_Selle,http://creativecommons.org/licenses/by-nc-sa/3.0/,happy-upbeat-instrumental
archive-mz001_Mademoi_Selle-2-02_Hazardous-mp3,mz001_Mademoi_Selle,02_Hazardous.mp3,Hazardous,Mademoi Selle,[MZ001] Mademoi Selle: Bipolar Disorder,happy,0.7372,0.7872,0.9,0.04,0.668,162980,0.9,internet_archive_metadata_query,https://archive.org/download/mz001_Mademoi_Selle/02_Hazardous.mp3,https://archive.org/download/mz001_Mademoi_Selle/02_Hazardous.mp3,https://archive.org/details/mz001_Mademoi_Selle,http://creativecommons.org/licenses/by-nc-sa/3.0/,happy-upbeat-instrumental
archive-NS042-1-01-NS042-intro-mp3,NS042,01-NS042-intro.mp3,Intro,Wacky Southern Current,In a Realm of Uncertain Summer,relaxed,0.6732,0.3736,0.9,0.04,0.3752,79760,0.9,internet_archive_metadata_query,https://archive.org/download/NS042/01-NS042-intro.mp3,https://archive.org/download/NS042/01-NS042-intro.mp3,https://archive.org/details/NS042,http://creativecommons.org/licenses/by-nc-sa/4.0/,relaxed-calm-instrumental
archive-NS042-2-02-NS042-theme_from_an_uncertain_summer-mp3,NS042,02-NS042-theme_from_an_uncertain_summer.mp3,Theme from an Uncertain Summer,Wacky Southern Current,In a Realm of Uncertain Summer,relaxed,0.6732,0.3736,0.9,0.04,0.3752,261150,0.9,internet_archive_metadata_query,https://archive.org/download/NS042/02-NS042-theme_from_an_uncertain_summer.mp3,https://archive.org/download/NS042/02-NS042-theme_from_an_uncertain_summer.mp3,https://archive.org/details/NS042,http://creativecommons.org/licenses/by-nc-sa/4.0/,relaxed-calm-instrumental
archive-bd0011-1-a_baroquedub_-_crash-and-burn-mp3,bd0011,a_baroquedub_-_crash-and-burn.mp3,crash and burn (feat. mr.doll),baroquedub,Dark Side Dubs [bd0011],tense,0.3196,0.6824,0.9,0.04,0.5216,256810,0.7,internet_archive_metadata_query,https://archive.org/download/bd0011/a_baroquedub_-_crash-and-burn.mp3,https://archive.org/download/bd0011/a_baroquedub_-_crash-and-burn.mp3,https://archive.org/details/bd0011,http://creativecommons.org/licenses/by-nc-nd/2.0/uk/,tense-dark-instrumental
archive-bd0011-2-aa_baroquedub_-_asia-mp3,bd0011,aa_baroquedub_-_asia.mp3,asia,baroquedub,Dark Side Dubs [bd0011],tense,0.3196,0.6824,0.9,0.04,0.5216,290660,0.7,internet_archive_metadata_query,https://archive.org/download/bd0011/aa_baroquedub_-_asia.mp3,https://archive.org/download/bd0011/aa_baroquedub_-_asia.mp3,https://archive.org/details/bd0011,http://creativecommons.org/licenses/by-nc-nd/2.0/uk/,tense-dark-instrumental
archive-DWK301-1-Mounika_-_01_-_oooOOOooo-mp3,DWK301,Mounika_-_01_-_oooOOOooo.mp3,oooOOOooo,Mounika,Born To Be Beats (EP),relaxed,0.5,0.48,0.9,0.04,0.4164,104620,0.5,internet_archive_metadata_query,https://archive.org/download/DWK301/Mounika_-_01_-_oooOOOooo.mp3,https://archive.org/download/DWK301/Mounika_-_01_-_oooOOOooo.mp3,https://archive.org/details/DWK301,http://creativecommons.org/licenses/by-nc-nd/3.0/,broad-licensed-instrumental
archive-DWK301-2-Mounika_-_02_-_SoInLoveWithYou-mp3,DWK301,Mounika_-_02_-_SoInLoveWithYou.mp3,SoInLoveWithYou,Mounika,Born To Be Beats (EP),relaxed,0.5,0.48,0.9,0.04,0.4164,122380,0.5,internet_archive_metadata_query,https://archive.org/download/DWK301/Mounika_-_02_-_SoInLoveWithYou.mp3,https://archive.org/download/DWK301/Mounika_-_02_-_SoInLoveWithYou.mp3,https://archive.org/details/DWK301,http://creativecommons.org/licenses/by-nc-nd/3.0/,broad-licensed-instrumental
archive-NS019-1-01-NS019-Country_Tune-mp3,NS019,01-NS019-Country_Tune.mp3,Country Tune,pEACEFANg,pEACEFANg EP,happy,0.7048,0.6,0.9,0.04,0.5349,246850,0.82,internet_archive_metadata_query,https://archive.org/download/NS019/01-NS019-Country_Tune.mp3,https://archive.org/download/NS019/01-NS019-Country_Tune.mp3,https://archive.org/details/NS019,http://creativecommons.org/licenses/by-nc-sa/4.0/,happy-upbeat-instrumental
archive-NS019-2-02-NS019-ct310-mp3,NS019,02-NS019-ct310.mp3,ct310,pEACEFANg,pEACEFANg EP,happy,0.7048,0.6,0.9,0.04,0.5349,222840,0.82,internet_archive_metadata_query,https://archive.org/download/NS019/02-NS019-ct310.mp3,https://archive.org/download/NS019/02-NS019-ct310.mp3,https://archive.org/details/NS019,http://creativecommons.org/licenses/by-nc-sa/4.0/,happy-upbeat-instrumental
