id,trackGenre,trackGenreLabel,title,artist,popularity,valence,energy,quadrant,spotifyId,youtubeVideoId,youtubeUrl,youtubeSearchUrl
spotify-3pAlKMwng8S0zlKL71glZD,idm,IDM,Odyssey,Rival Consoles,45,0.0457,0.611,tense,3pAlKMwng8S0zlKL71glZD,nQyBc6cR3GQ,https://www.youtube.com/watch?v=nQyBc6cR3GQ,https://www.youtube.com/results?search_query=Rival%20Consoles%20Odyssey%20official%20audio
spotify-0z7IeekUiNaQvmGQhsfJdl,idm,IDM,After the Rain - Piano Solo,Kyson,44,0.15,0.0971,sad_low,0z7IeekUiNaQvmGQhsfJdl,n6FCPp3PT8I,https://www.youtube.com/watch?v=n6FCPp3PT8I,https://www.youtube.com/results?search_query=Kyson%20After%20the%20Rain%20-%20Piano%20Solo%20official%20audio
spotify-75NSzNM87xKteVMHKzzGab,idm,IDM,Ken Tavr,Ishome,44,0.0693,0.427,sad_low,75NSzNM87xKteVMHKzzGab,qzZGaONeH2c,https://www.youtube.com/watch?v=qzZGaONeH2c,https://www.youtube.com/results?search_query=Ishome%20Ken%20Tavr%20official%20audio
spotify-1pbxHoGLKHD7jx4vMw5H2n,idm,IDM,Vision of Self,Rival Consoles,44,0.0519,0.389,sad_low,1pbxHoGLKHD7jx4vMw5H2n,dT2C-95gGBw,https://www.youtube.com/watch?v=dT2C-95gGBw,https://www.youtube.com/results?search_query=Rival%20Consoles%20Vision%20of%20Self%20official%20audio
spotify-6Sy9BUbgFse0n0LPA5lwy5,trance,Trance,Sandstorm,Darude,70,0.587,0.965,happy,6Sy9BUbgFse0n0LPA5lwy5,5Rk8u2FTaG0,https://www.youtube.com/watch?v=5Rk8u2FTaG0,https://www.youtube.com/results?search_query=Darude%20Sandstorm%20official%20audio
spotify-0TZL4krCFcuTlYZ8J9kcBX,trance,Trance,Greece 2000,Three Drives On A Vinyl,58,0.763,0.842,happy,0TZL4krCFcuTlYZ8J9kcBX,25BGvZ-SSro,https://www.youtube.com/watch?v=25BGvZ-SSro,https://www.youtube.com/results?search_query=Three%20Drives%20On%20A%20Vinyl%20Greece%202000%20official%20audio
spotify-0V6GWgubCBR8955ZWtJ4WR,trance,Trance,Choir Of Spirits,"Push, Joyhauser",56,0.187,0.701,tense,0V6GWgubCBR8955ZWtJ4WR,lOhVfy5Ohnw,https://www.youtube.com/watch?v=lOhVfy5Ohnw,https://www.youtube.com/results?search_query=Push%2C%20Joyhauser%20Choir%20Of%20Spirits%20official%20audio
spotify-1hChLdk0hBQbapbpVUVlNa,trance,Trance,Ayla Pt. 2,Ayla,56,0.269,0.893,tense,1hChLdk0hBQbapbpVUVlNa,zS6-o6qTr10,https://www.youtube.com/watch?v=zS6-o6qTr10,https://www.youtube.com/results?search_query=Ayla%20Ayla%20Pt.%202%20official%20audio
spotify-1ZJFc8isFWKXtN1BlE20fX,trance,Trance,Come Home,ALPHA 9,55,0.0361,0.827,tense,1ZJFc8isFWKXtN1BlE20fX,D_e6EcapXe0,https://www.youtube.com/watch?v=D_e6EcapXe0,https://www.youtube.com/results?search_query=ALPHA%209%20Come%20Home%20official%20audio
spotify-7C0PzxbsQx59DgGVRsquwJ,breakbeat,Breakbeat,Voodoo People - Pendulum Mix,"The Prodigy, Pendulum",55,0.533,0.96,happy,7C0PzxbsQx59DgGVRsquwJ,ZYCm2cUjU7Y,https://www.youtube.com/watch?v=ZYCm2cUjU7Y,https://www.youtube.com/results?search_query=The%20Prodigy%2C%20Pendulum%20Voodoo%20People%20-%20Pendulum%20Mix%20official%20audio
spotify-19mC6xktT1JyyycK6cQaXA,breakbeat,Breakbeat,Star Guitar,The Chemical Brothers,51,0.36,0.956,tense,19mC6xktT1JyyycK6cQaXA,0S43IwBF0uM,https://www.youtube.com/watch?v=0S43IwBF0uM,https://www.youtube.com/results?search_query=The%20Chemical%20Brothers%20Star%20Guitar%20official%20audio
spotify-0lOzGDHcPlUB1ZvXMWQ0Oh,breakbeat,Breakbeat,One Too Many Mornings,The Chemical Brothers,47,0.539,0.558,happy,0lOzGDHcPlUB1ZvXMWQ0Oh,wA-FVMPg49I,https://www.youtube.com/watch?v=wA-FVMPg49I,https://www.youtube.com/results?search_query=The%20Chemical%20Brothers%20One%20Too%20Many%20Mornings%20official%20audio
spotify-7isVtUtibpSO2eVSkSJcc6,breakbeat,Breakbeat,Zion,Fluke,46,0.0394,0.9,tense,7isVtUtibpSO2eVSkSJcc6,cFffoHmn8XA,https://www.youtube.com/watch?v=cFffoHmn8XA,https://www.youtube.com/results?search_query=Fluke%20Zion%20official%20audio
